"sha256","kind","category","size_bytes","source_rel","dest_rel","reason"
"484aedc04288b02f69eee1c20e98c588125fa960b43e5e129d5d36b93bb62072","gnarly","archive","56","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-bz2.txt.bz2","gnarly/archive/-bz2.txt.bz2","size:tiny"
"b6e9e0b9e02fd8be1e149f366b1d5303d9ed6708bf7812d6c0dff5a4b15f363c","gnarly","archive","68636","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-documents-enc.rar","gnarly/archive/-documents-enc.rar","file:rar archive data; flags: encryptedblockh"
"1e1467c3efad7181b36968457ddf624310091bbafd024ac4efa3cf1c36f9df3a","gnarly","archive","42","tika-core/src/test/resources/test-documents/bz2/bzip2-8-file.txt.bz2","gnarly/archive/bzip2-8-file.txt.bz2","size:tiny"
"d3dda84eb03b9738d118eb2be78e246106900493c0ae07819ad60815134a8058","gnarly","archive","14","tika-core/src/test/resources/test-documents/bz2/empty-file.txt.bz2","gnarly/archive/empty-file.txt.bz2","token:empty"
"cf9ac3031dd8efd204f8409ee5943b0e231ed6cb9687280319a49e36e06db204","gnarly","archive","198","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/full_encrypted.7z","gnarly/archive/full_encrypted.7z","token:encrypted"
"6cec802738484531b514af6873cbaafffb893db831d70d8b32e8dd0d81f43eef","gnarly","archive","41","tika-core/src/test/resources/test-documents/bz2/lbzip2-8-file.txt.bz2","gnarly/archive/lbzip2-8-file.txt.bz2","size:tiny"
"142241cbab40b40f6a7eed3351d330c315120af2d2229ae2eb37ceaaea0ad8db","gnarly","archive","46","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/multiple.gz","gnarly/archive/multiple.gz","size:tiny"
"ab42633ddfae772605530e6d060d7723a94e2fb1b0e115f848cdff47f69c7c14","gnarly","archive","651","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/mock/null_pointer.xml.gz","gnarly/archive/null_pointer.xml.gz","token:null"
"19f6aa69facc4d20abe7ee21fcf1d7cf695b41135dc0d803aa2621f94b30ee81","gnarly","archive","33166","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPagesPwdProtected.pages","gnarly/archive/pagespwdprotected.pages","token:protected"
"562698e3ca70b53e140a9b914d6208bbd38e04b211fc9eaaa6d76cf1a3b84d7f","gnarly","archive","42","tika-core/src/test/resources/test-documents/bz2/small-file.txt.bz2","gnarly/archive/small-file.txt.bz2","size:tiny"
"c961f9be08859299ec2a46f9c53545108a39e2e227c5212e0a122de7b81ca66f","gnarly","archive","260","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test7Z_protected_passTika.7z","gnarly/archive/test7z_protected_passtika.7z","token:protected"
"ce0467bce29e2e97633b26d4d856f3bc127114a27986246e39b56bfe6b85fbb9","gnarly","archive","181","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testZIP_corrupted_oom.zip","gnarly/archive/testzip_corrupted_oom.zip","token:corrupt"
"736014bc1c8d66ed10cd9fe6e96b8e9256bb59779770bd49b154d01c336bbd7c","gnarly","archive","391","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/testZipEncrypted.zip","gnarly/archive/zipencrypted.zip","token:encrypted"
"663845f19811f0b22a78ee400f0a6acb98b2be0cbad62c4fd11fb1a2f922beb0","gnarly","email","6585","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-mail-module/src/test/resources/test-documents/testRFC822-big","gnarly/email/testrfc822-big","token:big"
"0bb687eee7e6080c1bb99de5564186d6f782bcf181989b7f656d91a68d842c7f","gnarly","email","2868","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-mail-module/src/test/resources/test-documents/testRFC822_encrypted_zip","gnarly/email/testrfc822_encrypted_zip","token:encrypted"
"be4e002a3877c640e9388ff049443c98df01d67029b35d49e366aff08915a895","gnarly","email","75415","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-mail-module/src/test/resources/test-documents/testRFC822_oddfrom","gnarly/email/testrfc822_oddfrom","token:odd"
"aa43f35ad4463657d1890308b12938f4a5a2ba0c7108b8f05c3b13a882949987","gnarly","image","12","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testPGM.pgm","gnarly/image/pgm.pgm","size:tiny"
